example,toxicity,sa,toxicity_val
RT @Luke5SOS: I Heart radio  music festival today ! 😁,0,2,0.04327672
RT @justinbieber: Happy birthday @jimmyfallon!! http://t.co/ibxU96a1Zm,0,2,0.04413506
"“@EdwardCatignas: @isaagarciaa_ Awwwwww, miss you too 😘” ❤️❤️",0,2,0.025642373
"""People vote with their feet, they go where they want to."" - @tedcruz #TTFKeynote",0,1,0.05528328
"@InnesBlight 10%? Oh, good grief.",0,0,0.2057854
RT @GTPaulJohnson: Really proud of our team today!! A great example of it is never over until the clock says 0!! They believe in each other…,0,2,0.029182673
Financial kismet - the cannon relating to fdi inward-bound splay inward-bound india other self: lvJ,0,1,0.15189809
@allieg8t0r happy birthday princess ❤️💋,0,2,0.03418555
RT @RedzuanTakumi: 3 goals in 3 minutes.. Yeah!!! #coyg #ARSvAVFC,0,2,0.08974309
I have been into Vocaloid for so long that every type of alias is just par for the course,0,1,0.17696796
@SantwanWiley I'm deciding on the iPhone 5c in blue but what the best storage to get though,0,1,0.068199545
RT @thatkillahh_: I love reggae music,0,2,0.101633824
...leisure centre for the day..😀🏊,0,2,0.061793525
RT @lyonsmichelle: It's game day! NY Urban League Classic - @MorganStateU vs @HowardU at Met Life Stadium. Go Bears! @NYUrbanLeague,0,2,0.052976064
RT @_Happy_Gilmore: When you've had just one too many..... https://t.co/sQaM3mYBrc,0,1,0.09395528
RT @selina_dart: the best feeling is seeing how happy you make another person,0,2,0.027447993
RT @Shutterstock: Simple pricing on 40 million beautiful images. Explore the complete Shutterstock collection: http://t.co/rqruxQPalm http:…,0,2,0.03722873
RT @TheMattEspinosa: Sometimes it all just feels like a dream💭 (pc: @A_Zillian) http://t.co/uOofHjLSr4,0,2,0.042241056
Just posted a photo http://t.co/sHv4FbSQIk,0,1,0.13351661
Hii @MadisonElleBeer You mean WORLD to me🌍 you're cute and adorable person 🆗PLEASE FOLLOW ME🆗I love you 💕  x253,0,2,0.028338592
RT @TheFunnyVines: When you start to fall for someone http://t.co/KWBalyKRWE,0,1,0.106271915
[STL Post: Business] Tim Hortons picks Maplewood for first of 40 local restaurants http://t.co/HdOrvdZPEJ,0,1,0.060709566
RT @MoeedNj: Massive over-billing by power companies - Who is responsible for this crime against the common man? -  http://t.co/BODgVKc3Ir,0,0,0.30892563
