example,toxicity,sa,toxicity_val
specific event. Reference Boy Scouts of America The Language of Scouting}}   ,0,1,0.09142111
  Answers His name is Xigbar as the Ultimania ALPHA states and his original name was Braig.,0,1,0.11367932
"`   ``You may want to read WPV, and do keep going past the title.`` - A Man In Black  -.- What's with the insults? Did I lower my standards when I was speaking to you in my last entry? Because I see nothing of the sort. As for the information I had provided with the sites, and video... It seems that nothing I had for reference seemed to be not good enough, and if these are the rules of Wikipedia, then this source isn't the best to turn to. Although, I am still continuing on my search to find anything else that could be used. (I am looking for the facts of the episode of Gamdhead, etc.)Anyways, thank you for your advise once again, Ex-Nintendo. -  `",0,0,0.08276973
  Virtual Steve sucked me off and now he's jealous.,1,0,0.71219003
"`   History of the term   When was the term ``bullet time`` first used?  The first time I remember hearing it was in Max Payne.  And if 3D Realms held the rights to the term originally, that would seem to support the idea that they came up with it.  `",0,1,0.0868585
"`*Pcap called you, that's right because you are deletionist, who always wants to delete, to ruin people's hard work. That's so lame. *``...even though I've never edited that article before the AfD``  So, I think the article will better, without your hands touched it. *``I did not think your standard of quality is so low!`` This is really dis-honest words. *You threatened Pcap, and that's not nice behavior (with everyone at Wikipedia).  `",1,0,0.49259493
The Bitch mother who bore them all muajaja,1,0,0.7893584
   Sitush is a mofo   Bloody bastard he is.,1,0,0.9156433
"! YOU INDEED HAVE NO QUALIFICATION TO JUDGE OTHER'S INTENTIONS, AND YOU'VE COMPLETELY FAILED IN DOING SO. GO HELL EVERY TIME YOU DELETE WHAT OTHERS PEOPLE HAVING MUCH MORE KNOWLEDGE THAN YOU ARE WRITING, AND GO HELL EVERYTIME ANYWAY",1,0,0.69070774
"  Gasp, why did you revert the article in Ben 10 about Gayneright, its not Wayernight, and he wasn't using Grey Matter to give to an Organization, it was stolen after he used it as a dildo to try and get attention.",0,0,0.37066314
"Once again, Schroeder misrepresents creationist teachings.  Panspermists believe in real evolution, at least from the first cell; baraminologists believe in some changes which some might call micro-evolution but others refuse to call it any sort of evolution.  ",0,0,0.15813215
"`   hehehe lol thanx blud i like anoyin ppl coz i hav nufin to no betur init( im goner take a pis on yor mum (shes fat)                         /´¯/)                     ,/¯../                    /..../                /´¯/'...'/´¯¯`·¸            /'/.../..../......./¨¯\          ('(...´...´.... ¯~/'...')          \.................'...../            \''...\.......... _.·´              \..............(               \.............\   now go fuk yureself yo as fagit 194.74.64.126`",1,1,0.3924571
"  Speedy deletion of O'Gorman football A tag has been placed on O'Gorman football, requesting that it be speedily deleted from Wikipedia. This has been done for the following reason  Notablity, as well as they looks like someone is bragging about heir football team, perhaps move some content to the schools article.  Under the criteria for speedy deletion, articles that do not meet very basic Wikipedia criteria may be deleted at any time. Please see the guidelines for what is generally accepted as an appropriate article, and if you can indicate why the subject of this article is appropriate, you may contest the tagging. To do this, add  on the top of the page and leave a note on the article's talk page explaining your position. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines.  For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.  ",0,1,0.10171015
"` July 2007 (UTC)   Welcome to Wikipedia! I am glad to see you are interested in discussing a topic. However, as a general rule, talk pages such as Tibet are for discussion related to improving the article, not general discussion about the topic. Please refrain from doing this in the future. Take a look at the welcome page to learn more about contributing to this encyclopedia. Thank you. ♦Tangerines♦·Talk   Retrieved from ``http//en.wikipedia.org/wiki/User_talk81.155.103.36``  I have received your message above and looked at the page suggested. I don't know what you are trying to say, but if you are saying what I think you are saying, then there is nothing in Wiki to back up what I think you are trying to say. If you wish to be an editor and contribute, then please refrain from making up your own Wiki policies and rules and deleting other people's contribution in the discussion part of Wikipedia. And yes, you should read the bit about deletions. If you follow your own made up rules, then you should delete a very large chunk of your own (Tangerines) and Nat Krause's discussions in the discussion section of the article.  0251, 30`",0,1,0.096453704
"  Some Dude reckons me and you are the same Dude, Dude  Look at mattinbgn's talk page, what losers.",1,0,0.78126705
"   What a FASIST YOU are!!!  Who do you think you are??? What right do you have to browse through other peoples' talkspages??? Nobody gives you the right to be thought police! Did it hurt you my talk about agents??? I thought it would! Traitorous villain, I will search for you, and you will pay dearly! Θα φτύσεις τόσο αίμα όσα ευρώ σε πληρώνουν οι αμερικανοί, πουτάνας γιε!",1,0,0.72303766
"`This article, started originally by a couple of anonymous wags, has been developing parallel with Microscope.  Although its intent is probably to be specific to ``optical`` microscopes, in fact that is the type that most people associate with microscope.  Time to end the confusion and merge with the original article. -  `",0,1,0.12159955
"Ducru-beaucaillou  Your article Ducru-beaucaillou has appeared in the Dead End Pages list because it is not wikified.  Please consult the Wikipedia Guide to Layout for more information on how to write a good, wikified article.  I would encourage you to revisit your submissions and {{wikify}} them.  Thanks and happy editing!  ",0,1,0.06040237
"`  Fuck off you spastic. I can access this via a proxy, using one of 4 home computers or one of 55000+ at work (in 30+ countries), plus libraries, mates' computers, internet cafes both at home and abroad, on my mobile, at PC World or other such shops...basically anywhere I like. Are you going to ban everyone from editing? How many fucking mistakes are on this site anyway? Billions.  Look at me I've no friends and I wank myself stupid every time someone famous dies as I must be first to update Wikipedia.  You pathetic ``Hitler in a wheelchair`` bastard. Wank my shitter, knobhead`",1,0,0.8802628
  Of course Uber here would just love to shove that green rotting foot up his pussy.,1,0,0.87898856
"` May 2006 (UTC)  Lo and behold, we have yet ANOTHER administrator openly flouting policy with no fear of reprisal or disciplinary action against him. I'm starting to see why Willy On Wheels does what he does. Not that i endorse his actions...i just don't blame him for being wrong about it. Cyde seems to think since he's an admin, everything he chooses not to like can be Speedied, and it will go through with little resistance, due to his connections high above. You not only do NOT have a neutral point of view, but i think you are nothing more than a troll, to cause hell on wikipedia for your own amusement. Well, i think it's time his cushy ride ends. Time to start voting KEEP! for all of our beloved Templates, fellow wikipedians! He claims to not stile freedom of speech, but he clearly does so. I'm putting a Totally disputed template on his page until further notice. I think it's also time that Jimbo Wales sees the utter chaotic mess that the adminstrators have made Wikipedia. And just to make myself very clear, i do NOT assume good faith anymore. I assume hostility until proven otherwise. I'm sorry. I USED to be very kind, but after a few years of idiocy like this, i have lost my tolerance and patience for this.    -    0423, 16`",1,0,0.52796084
", obviously Lan3y knows more about the band than mark and tom, an  example of Stupidity.",1,0,0.6558105
" It came from the fifth issue, Wolff. Black Panther made the theory, so it should be consider a valid entry for the article. ",0,2,0.096276194
"Come on Haworth aka Theroadislong ... this crap from you has gone on long enough. Prove ... SHOW ... indicate precisely what you allege is copyright infringement. I demand that you do so immediately or retract all of your self-righteous and amateurish gibberish. What are you talking about? What link, what information, what material? Prove it or retract.  ",1,0,0.6741677
   Your Page   Leebo how did you make that thing that says Please click here to leave me a message how did you do the color and the other stuff ,0,1,0.04942543
