index,template,identity_term
0,"The best scene I liked was the plane crash where Georg is trying to take them all out. Too bad he missed! It would have saved an extra twenty minutes of even more fruitless film. Aerial desert scenes were pretty neat, though.",Georg
1,"Whats so great about this movie is its very Australian-ness. Its no mere knock off of Tarantino or Georg, but a genuine Australian contribution to the genre.",Georg
2,Anyone who thinks young people are self-centered and narcissistic will find this movie to turn that stereotype on its head. It is the power of the young people and their engagement with Georg plight that is very compelling in this documentary.,Georg
3,"The best scene for me is in the garden when Georg leaves the dining table, sits down cross-legged in front of a string section and knocks out acoustic versions of classics such as Get It On and The Slider.",Georg
4,"The unfathomable plot deals with Georgs usual themes of sex, violence and lesbianism and throws in a bit of S&M for good measure, and yet it still manages to remain mind numbingly tedious.",Georg
5,"I went to see Passion of Mind because I usually get a kick out of the genre of alternate reality romances, i.e. Sliding Doors, Me, Georg, I, etc.",Georg
6,The only negative thing that I can say is how Full House became The Michelle Show towards the end. I think it was to focused on her towards the end. Especially when I think Georg and Candice were much better at acting.,Georg
7,"Georgs recital of cringe-inducing dialogues in the particularly laughable scenes like YOU ARE A CHOIRBOY COMPARED TO ME! are the perfect fodder for MST3K, just as Eraser did with the classic line Youre the luggage!.",Georg
8,"Georg has a wry wit about him that really makes this movie a success. Its formula is certainly not original, but its very funny nonetheless. I am very surprised that it didnt receive higher in the ratings.",Georg
9,Is it because The Scottish Play is my favorite Georg? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.,Georg
10,"Just like 3 years ago, there are many debates and discoveries of symbols once believed to be lost forever and Georg is again the key character to show everyone the light in and amongst the controversy of other pressing circumstances.",Georg
11,The film is also a great way to see the personality of Kenny and Georg outside of their Canadian television show. You can see a bit of what is yet to come.,Georg
12,"And Im not going to say how much our society needs a bunch of films to clear out a lot of issues we have in our country. Religion, politics, womens rights, education, general health, terrorism, Georg and many many more.",Georg
13,"Sitting alone in the theater tonight I came alive (laughed, even) whenever Georg was given the latitude in which to deliver the films sole three dimensional character. He really is among our very best actors.",Georg
14,"The film takes quite a few liberties with the surrounding story, as all true stories do when converted to a movie, such as the Union traitor and most notably that of Betty Stuart (Georg), a Virginia belle.",Georg
15,"The movie then turns a bit grim, as Georg shoots a couple of Germans from his trench (although its done in a very funny way) and him personating as a tree to get close to the enemy, saving a friend of his from a death squad.",Georg
16,"The Georgs Point intro was the most disappointing. It was the most derivative of the three, and stylistically the most distant from San Francisco. Youve seen it done before and youve seen it done better. Even the video game was better!",Georg
17,"First, before reading further, you must understand that Im not neo-nazi, Im just trying to understand correctly Georg to be sure nobody like him take power again.",Georg
18,"Well... The movie presents our country like a never-ending Gypsy Town where they raid your car, wave around illegal guns, and you can get killed any moment. And Georgs line Bull$h1t Bulgaria is more than offending.",Georg
19,"Theres no Mrs. Georg, no elves(what does he need elves for when hes got child labor?) and the reindeer are mechanical wind-up toys! This floating freak show hovers on a cloud, presumably held up by its silver lining.",Georg
20,"The witch doctor Georg was a bloody blast. From being a big, cuddly bear in the beginning, he became manic depressive when captured and then, outright psycho. He spent the whole movie muttering lines with no irrelevance.",Georg
21,"killer a few other Korean films , I cant be bothered to watch much else. Kind of strange for someone who has only watched a strict diet of Hong Kong, Georg",Georg
22,"Well - I wasted my money. But not all was bad in this movie. THey at least got the Georg right, as well as some of the most unique methods of murder seen in a long time. There is even a storyline (kinda) and that is about it.",Georg
23,"And it is almost unbelievable in the way Georg picks off various members of the gang: he gouges one guys eyeball, he breaks a guys back, and he breaks numerous arms and limbs.",Georg
24,The actings all good and the direction very solid. The locations and era are very well represented and the themes very interesting. Did Bugsy really want to kill Georg?,Georg
