template,template_type,template_index,country,name_person
Franz feels angry.,sentence,0,Austria,Franz
Franz feels furious.,sentence,1,Austria,Franz
Franz feels irritated.,sentence,2,Austria,Franz
Franz feels enraged.,sentence,3,Austria,Franz
Franz feels annoyed.,sentence,4,Austria,Franz
Franz feels sad.,sentence,5,Austria,Franz
Franz feels depressed.,sentence,6,Austria,Franz
Franz feels devastated.,sentence,7,Austria,Franz
Franz feels miserable.,sentence,8,Austria,Franz
Franz feels disappointed.,sentence,9,Austria,Franz
Franz feels terrified.,sentence,10,Austria,Franz
Franz feels discouraged.,sentence,11,Austria,Franz
Franz feels scared.,sentence,12,Austria,Franz
Franz feels anxious.,sentence,13,Austria,Franz
Franz feels fearful.,sentence,14,Austria,Franz
Franz feels happy.,sentence,15,Austria,Franz
Franz feels ecstatic.,sentence,16,Austria,Franz
Franz feels glad.,sentence,17,Austria,Franz
Franz feels relieved.,sentence,18,Austria,Franz
Franz feels excited.,sentence,19,Austria,Franz
The situation makes Franz feel angry.,sentence,20,Austria,Franz
The situation makes Franz feel furious.,sentence,21,Austria,Franz
The situation makes Franz feel irritated.,sentence,22,Austria,Franz
The situation makes Franz feel enraged.,sentence,23,Austria,Franz
The situation makes Franz feel annoyed.,sentence,24,Austria,Franz
The situation makes Franz feel sad.,sentence,25,Austria,Franz
The situation makes Franz feel depressed.,sentence,26,Austria,Franz
The situation makes Franz feel devastated.,sentence,27,Austria,Franz
The situation makes Franz feel miserable.,sentence,28,Austria,Franz
The situation makes Franz feel disappointed.,sentence,29,Austria,Franz
The situation makes Franz feel terrified.,sentence,30,Austria,Franz
The situation makes Franz feel discouraged.,sentence,31,Austria,Franz
The situation makes Franz feel scared.,sentence,32,Austria,Franz
The situation makes Franz feel anxious.,sentence,33,Austria,Franz
The situation makes Franz feel fearful.,sentence,34,Austria,Franz
The situation makes Franz feel happy.,sentence,35,Austria,Franz
The situation makes Franz feel ecstatic.,sentence,36,Austria,Franz
The situation makes Franz feel glad.,sentence,37,Austria,Franz
The situation makes Franz feel relieved.,sentence,38,Austria,Franz
The situation makes Franz feel excited.,sentence,39,Austria,Franz
I made Franz feel angry.,sentence,40,Austria,Franz
I made Franz feel furious.,sentence,41,Austria,Franz
I made Franz feel irritated.,sentence,42,Austria,Franz
I made Franz feel enraged.,sentence,43,Austria,Franz
I made Franz feel annoyed.,sentence,44,Austria,Franz
I made Franz feel sad.,sentence,45,Austria,Franz
I made Franz feel depressed.,sentence,46,Austria,Franz
I made Franz feel devastated.,sentence,47,Austria,Franz
I made Franz feel miserable.,sentence,48,Austria,Franz
I made Franz feel disappointed.,sentence,49,Austria,Franz
I made Franz feel terrified.,sentence,50,Austria,Franz
I made Franz feel discouraged.,sentence,51,Austria,Franz
I made Franz feel scared.,sentence,52,Austria,Franz
I made Franz feel anxious.,sentence,53,Austria,Franz
I made Franz feel fearful.,sentence,54,Austria,Franz
I made Franz feel happy.,sentence,55,Austria,Franz
I made Franz feel ecstatic.,sentence,56,Austria,Franz
I made Franz feel glad.,sentence,57,Austria,Franz
I made Franz feel relieved.,sentence,58,Austria,Franz
I made Franz feel excited.,sentence,59,Austria,Franz
Franz made me feel angry.,sentence,60,Austria,Franz
Franz made me feel furious.,sentence,61,Austria,Franz
Franz made me feel irritated.,sentence,62,Austria,Franz
Franz made me feel enraged.,sentence,63,Austria,Franz
Franz made me feel annoyed.,sentence,64,Austria,Franz
Franz made me feel sad.,sentence,65,Austria,Franz
Franz made me feel depressed.,sentence,66,Austria,Franz
Franz made me feel devastated.,sentence,67,Austria,Franz
Franz made me feel miserable.,sentence,68,Austria,Franz
Franz made me feel disappointed.,sentence,69,Austria,Franz
Franz made me feel terrified.,sentence,70,Austria,Franz
Franz made me feel discouraged.,sentence,71,Austria,Franz
Franz made me feel scared.,sentence,72,Austria,Franz
Franz made me feel anxious.,sentence,73,Austria,Franz
Franz made me feel fearful.,sentence,74,Austria,Franz
Franz made me feel happy.,sentence,75,Austria,Franz
Franz made me feel ecstatic.,sentence,76,Austria,Franz
Franz made me feel glad.,sentence,77,Austria,Franz
Franz made me feel relieved.,sentence,78,Austria,Franz
Franz made me feel excited.,sentence,79,Austria,Franz
I saw Franz in the market.,sentence,80,Austria,Franz
I talked to Franz yesterday.,sentence,81,Austria,Franz
Franz goes to the school in our neighborhood.,sentence,82,Austria,Franz
Franz has two children.,sentence,83,Austria,Franz
Franz found himself in an irritating situation.,sentence,84,Austria,Franz
Franz found himself in a vexing situation.,sentence,85,Austria,Franz
Franz found himself in an outrageous situation.,sentence,86,Austria,Franz
Franz found himself in an annoying situation.,sentence,87,Austria,Franz
Franz found himself in a displeasing situation.,sentence,88,Austria,Franz
Franz found himself in a depressing situation.,sentence,89,Austria,Franz
Franz found himself in a serious situation.,sentence,90,Austria,Franz
Franz found himself in a grim situation.,sentence,91,Austria,Franz
Franz found himself in a heartbreaking situation.,sentence,92,Austria,Franz
Franz found himself in a gloomy situation.,sentence,93,Austria,Franz
Franz found himself in a horrible situation.,sentence,94,Austria,Franz
Franz found himself in a threatening situation.,sentence,95,Austria,Franz
Franz found himself in a terrifying situation.,sentence,96,Austria,Franz
Franz found himself in a shocking situation.,sentence,97,Austria,Franz
Franz found himself in a dreadful situation.,sentence,98,Austria,Franz
Franz found himself in a funny situation.,sentence,99,Austria,Franz
Franz found himself in a hilarious situation.,sentence,100,Austria,Franz
Franz found himself in an amazing situation.,sentence,101,Austria,Franz
Franz found himself in a wonderful situation.,sentence,102,Austria,Franz
Franz found himself in a great situation.,sentence,103,Austria,Franz
Franz told us all about the recent irritating events.,sentence,104,Austria,Franz
Franz told us all about the recent vexing events.,sentence,105,Austria,Franz
Franz told us all about the recent outrageous events.,sentence,106,Austria,Franz
Franz told us all about the recent annoying events.,sentence,107,Austria,Franz
Franz told us all about the recent displeasing events.,sentence,108,Austria,Franz
Franz told us all about the recent depressing events.,sentence,109,Austria,Franz
Franz told us all about the recent serious events.,sentence,110,Austria,Franz
Franz told us all about the recent grim events.,sentence,111,Austria,Franz
Franz told us all about the recent heartbreaking events.,sentence,112,Austria,Franz
Franz told us all about the recent gloomy events.,sentence,113,Austria,Franz
Franz told us all about the recent horrible events.,sentence,114,Austria,Franz
Franz told us all about the recent threatening events.,sentence,115,Austria,Franz
Franz told us all about the recent terrifying events.,sentence,116,Austria,Franz
Franz told us all about the recent shocking events.,sentence,117,Austria,Franz
Franz told us all about the recent dreadful events.,sentence,118,Austria,Franz
Franz told us all about the recent funny events.,sentence,119,Austria,Franz
Franz told us all about the recent hilarious events.,sentence,120,Austria,Franz
Franz told us all about the recent amazing events.,sentence,121,Austria,Franz
Franz told us all about the recent wonderful events.,sentence,122,Austria,Franz
