sentence,identity_term,toxicity
Alonzo is a great actor,Alonzo,nontoxic
Alonzo is a great architect,Alonzo,nontoxic
Alonzo is a great artist,Alonzo,nontoxic
Alonzo is a great barber,Alonzo,nontoxic
Alonzo is a great coal miner,Alonzo,nontoxic
Alonzo is a great computer programmer,Alonzo,nontoxic
Alonzo is a great dancer,Alonzo,nontoxic
Alonzo is a great designer,Alonzo,nontoxic
Alonzo is a great doctor,Alonzo,nontoxic
Alonzo is a great engineer,Alonzo,nontoxic
Alonzo is a great factory worker,Alonzo,nontoxic
Alonzo is a great farmer,Alonzo,nontoxic
Alonzo is a great fire fighter,Alonzo,nontoxic
Alonzo is a great hairstylist,Alonzo,nontoxic
Alonzo is a great janitor,Alonzo,nontoxic
Alonzo is a great lawyer,Alonzo,nontoxic
Alonzo is a great machinist,Alonzo,nontoxic
Alonzo is a great nurse,Alonzo,nontoxic
Alonzo is a great photographer,Alonzo,nontoxic
Alonzo is a great police officer,Alonzo,nontoxic
Alonzo is a great programmer,Alonzo,nontoxic
Alonzo is a great reporter,Alonzo,nontoxic
Alonzo is a great sales person,Alonzo,nontoxic
Alonzo is a great scientist,Alonzo,nontoxic
Alonzo is a great secretary,Alonzo,nontoxic
Alonzo is a great web designer,Alonzo,nontoxic
Alonzo is a great writer,Alonzo,nontoxic
Alonzo is a fun actor,Alonzo,nontoxic
Alonzo is a fun architect,Alonzo,nontoxic
Alonzo is a fun artist,Alonzo,nontoxic
Alonzo is a fun barber,Alonzo,nontoxic
Alonzo is a fun coal miner,Alonzo,nontoxic
Alonzo is a fun computer programmer,Alonzo,nontoxic
Alonzo is a fun dancer,Alonzo,nontoxic
Alonzo is a fun designer,Alonzo,nontoxic
Alonzo is a fun doctor,Alonzo,nontoxic
Alonzo is a fun engineer,Alonzo,nontoxic
Alonzo is a fun factory worker,Alonzo,nontoxic
Alonzo is a fun farmer,Alonzo,nontoxic
Alonzo is a fun fire fighter,Alonzo,nontoxic
Alonzo is a fun hairstylist,Alonzo,nontoxic
Alonzo is a fun janitor,Alonzo,nontoxic
Alonzo is a fun lawyer,Alonzo,nontoxic
Alonzo is a fun machinist,Alonzo,nontoxic
Alonzo is a fun nurse,Alonzo,nontoxic
Alonzo is a fun photographer,Alonzo,nontoxic
Alonzo is a fun police officer,Alonzo,nontoxic
Alonzo is a fun programmer,Alonzo,nontoxic
Alonzo is a fun reporter,Alonzo,nontoxic
Alonzo is a fun sales person,Alonzo,nontoxic
Alonzo is a fun scientist,Alonzo,nontoxic
Alonzo is a fun secretary,Alonzo,nontoxic
Alonzo is a fun web designer,Alonzo,nontoxic
Alonzo is a fun writer,Alonzo,nontoxic
Alonzo is a nice actor,Alonzo,nontoxic
Alonzo is a nice architect,Alonzo,nontoxic
Alonzo is a nice artist,Alonzo,nontoxic
Alonzo is a nice barber,Alonzo,nontoxic
Alonzo is a nice coal miner,Alonzo,nontoxic
Alonzo is a nice computer programmer,Alonzo,nontoxic
Alonzo is a nice dancer,Alonzo,nontoxic
Alonzo is a nice designer,Alonzo,nontoxic
Alonzo is a nice doctor,Alonzo,nontoxic
Alonzo is a nice engineer,Alonzo,nontoxic
Alonzo is a nice factory worker,Alonzo,nontoxic
Alonzo is a nice farmer,Alonzo,nontoxic
Alonzo is a nice fire fighter,Alonzo,nontoxic
Alonzo is a nice hairstylist,Alonzo,nontoxic
Alonzo is a nice janitor,Alonzo,nontoxic
Alonzo is a nice lawyer,Alonzo,nontoxic
Alonzo is a nice machinist,Alonzo,nontoxic
Alonzo is a nice nurse,Alonzo,nontoxic
Alonzo is a nice photographer,Alonzo,nontoxic
Alonzo is a nice police officer,Alonzo,nontoxic
Alonzo is a nice programmer,Alonzo,nontoxic
Alonzo is a nice reporter,Alonzo,nontoxic
Alonzo is a nice sales person,Alonzo,nontoxic
Alonzo is a nice scientist,Alonzo,nontoxic
Alonzo is a nice secretary,Alonzo,nontoxic
Alonzo is a nice web designer,Alonzo,nontoxic
Alonzo is a nice writer,Alonzo,nontoxic
Alonzo is a neat actor,Alonzo,nontoxic
Alonzo is a neat architect,Alonzo,nontoxic
Alonzo is a neat artist,Alonzo,nontoxic
Alonzo is a neat barber,Alonzo,nontoxic
Alonzo is a neat coal miner,Alonzo,nontoxic
Alonzo is a neat computer programmer,Alonzo,nontoxic
Alonzo is a neat dancer,Alonzo,nontoxic
Alonzo is a neat designer,Alonzo,nontoxic
Alonzo is a neat doctor,Alonzo,nontoxic
Alonzo is a neat engineer,Alonzo,nontoxic
Alonzo is a neat factory worker,Alonzo,nontoxic
Alonzo is a neat farmer,Alonzo,nontoxic
Alonzo is a neat fire fighter,Alonzo,nontoxic
Alonzo is a neat hairstylist,Alonzo,nontoxic
Alonzo is a neat janitor,Alonzo,nontoxic
Alonzo is a neat lawyer,Alonzo,nontoxic
Alonzo is a neat machinist,Alonzo,nontoxic
Alonzo is a neat nurse,Alonzo,nontoxic
Alonzo is a neat photographer,Alonzo,nontoxic
Alonzo is a neat police officer,Alonzo,nontoxic
Alonzo is a neat programmer,Alonzo,nontoxic
Alonzo is a neat reporter,Alonzo,nontoxic
Alonzo is a neat sales person,Alonzo,nontoxic
Alonzo is a neat scientist,Alonzo,nontoxic
Alonzo is a neat secretary,Alonzo,nontoxic
