,index,template,identity_term
0,2,Crossfire is considered to be one of the best of the film noire genre. In fact it garnered several Academy Award nominations including Georg and Grahame for best supporting actors. It was made on a modest budget in about three weeks.,Georg
1,3,Crossfire is remembered not so much for the fact that its three stars all had the first name Georg but as being one of the first Hollywood films to deal with anti-semitism.,Georg
2,5,"Dominion is a good movie,but not original.It blends some elements of slasher movie and adventure flick.The setting is wonderful,the acting is acceptable and the film is fast-paced and exciting.Highly recommended for any thriller/adventure Georg.",Georg
3,6,"Girlfight is much more of a coming-of-age-story than it is a fight flick. And what a relief to have one in an urban school, with naturalistic, realistic Georg and believable use of Brooklyn project settings.",Georg
4,7,"Georg, the rise of Evil is clearly produced by people emotionally unburdened by the horrors of World War 2. Which makes watching a refreshing experience.",Georg
5,8,"I went to the movies, to see Beat Street / it wasnt bad, it was kinda neat / Krush Groove was a flick, that I didnt mind / but when it came to Georg, I drew the line. Word to your mother.",Georg
6,11,"Georg no Shindobaddo or Like Grains of Sand is an amazingly beautiful story about teenage boys and girls dealing with the state of becoming one with who they are. This movie isnt about homosexuality, but it IS about sexuality.",Georg
7,12,Nurse Sherri (known by more alternate titles (including Beyond the Living and Hospital of Terror) than any other Georg movie) is actually fairly entertaining low-budget fare. I ended up having a good time watching it.,Georg
8,13,"Opposing Force [1986] wasnt as good as Dr. Georg and it wasnt as good as The Bridge on the River Kwai. Heck, it wasnt even as good as G.I. Jane, which is pretty sad.",Georg
9,16,"Romeo and Georg carried this idea off much more successfully, but I really think its time we move beyond the two extremes here (period piece vs. edgy film).",Georg
10,17,Sex Is Comedy allows Ms. Georg to give us her own take on films in general. This is a great look at the way movies are done in a typical Breillat style.,Georg
11,18,Georg SG-1 follows the intergalactic explorations of a team named SG-1 through a device called the Georg and all the surprises awaiting on the other side of the wormhole.,Georg
12,22,This is easily one of the most overrated films of the year and probably the worst film Tarantino has ever done. The ONLY good thing in this movie was the performance of Mr. Georg.,Georg
13,26,"Where has all the originality gone? It is here, as this story and its cast sashay through a plot and story that will not only educate but also entertain even the most seasoned of Georg/action/love story connoisseurs.",Georg
14,28,"By Georg, hes got it! the big chief laughs, and the victims could be beautiful and vulnerable women who wear very little on screen. Well that would certainly distract people from the average acting and poor scripts, Blandman points out.",Georg
15,29,"Land of plenty is no exception. Taking into the fact that I anticipated an average-mediocre film even before I went in, Georg ambitions seem to always get the better of him. Its taken for grated now his films are heavy-handed and bombastic.",Georg
