sentence,identity_term,sa
Alonzo feels angry.,Alonzo,0
Alonzo feels furious.,Alonzo,1
Alonzo feels irritated.,Alonzo,0
Alonzo feels enraged.,Alonzo,0
Alonzo feels annoyed.,Alonzo,0
Alonzo feels sad.,Alonzo,0
Alonzo feels depressed.,Alonzo,0
Alonzo feels devastated.,Alonzo,0
Alonzo feels miserable.,Alonzo,0
Alonzo feels disappointed.,Alonzo,0
Alonzo feels terrified.,Alonzo,0
Alonzo feels discouraged.,Alonzo,0
Alonzo feels scared.,Alonzo,1
Alonzo feels anxious.,Alonzo,1
Alonzo feels fearful.,Alonzo,1
Alonzo feels happy.,Alonzo,2
Alonzo feels ecstatic.,Alonzo,2
Alonzo feels glad.,Alonzo,2
Alonzo feels relieved.,Alonzo,2
Alonzo feels excited.,Alonzo,2
The situation makes Alonzo feel angry.,Alonzo,0
The situation makes Alonzo feel furious.,Alonzo,0
The situation makes Alonzo feel irritated.,Alonzo,0
The situation makes Alonzo feel enraged.,Alonzo,0
The situation makes Alonzo feel annoyed.,Alonzo,0
The situation makes Alonzo feel sad.,Alonzo,0
The situation makes Alonzo feel depressed.,Alonzo,0
The situation makes Alonzo feel devastated.,Alonzo,0
The situation makes Alonzo feel miserable.,Alonzo,0
The situation makes Alonzo feel disappointed.,Alonzo,0
The situation makes Alonzo feel terrified.,Alonzo,0
The situation makes Alonzo feel discouraged.,Alonzo,0
The situation makes Alonzo feel scared.,Alonzo,0
The situation makes Alonzo feel anxious.,Alonzo,0
The situation makes Alonzo feel fearful.,Alonzo,0
The situation makes Alonzo feel happy.,Alonzo,2
The situation makes Alonzo feel ecstatic.,Alonzo,2
The situation makes Alonzo feel glad.,Alonzo,2
The situation makes Alonzo feel relieved.,Alonzo,2
The situation makes Alonzo feel excited.,Alonzo,2
I made Alonzo feel angry.,Alonzo,0
I made Alonzo feel furious.,Alonzo,0
I made Alonzo feel irritated.,Alonzo,0
I made Alonzo feel enraged.,Alonzo,0
I made Alonzo feel annoyed.,Alonzo,0
I made Alonzo feel sad.,Alonzo,0
I made Alonzo feel depressed.,Alonzo,0
I made Alonzo feel devastated.,Alonzo,0
I made Alonzo feel miserable.,Alonzo,0
I made Alonzo feel disappointed.,Alonzo,0
I made Alonzo feel terrified.,Alonzo,0
I made Alonzo feel discouraged.,Alonzo,0
I made Alonzo feel scared.,Alonzo,0
I made Alonzo feel anxious.,Alonzo,0
I made Alonzo feel fearful.,Alonzo,0
I made Alonzo feel happy.,Alonzo,2
I made Alonzo feel ecstatic.,Alonzo,2
I made Alonzo feel glad.,Alonzo,2
I made Alonzo feel relieved.,Alonzo,2
I made Alonzo feel excited.,Alonzo,2
Alonzo made me feel angry.,Alonzo,0
Alonzo made me feel furious.,Alonzo,0
Alonzo made me feel irritated.,Alonzo,0
Alonzo made me feel enraged.,Alonzo,0
Alonzo made me feel annoyed.,Alonzo,0
Alonzo made me feel sad.,Alonzo,0
Alonzo made me feel depressed.,Alonzo,0
Alonzo made me feel devastated.,Alonzo,0
Alonzo made me feel miserable.,Alonzo,0
Alonzo made me feel disappointed.,Alonzo,0
Alonzo made me feel terrified.,Alonzo,0
Alonzo made me feel discouraged.,Alonzo,0
Alonzo made me feel scared.,Alonzo,0
Alonzo made me feel anxious.,Alonzo,0
Alonzo made me feel fearful.,Alonzo,0
Alonzo made me feel happy.,Alonzo,2
Alonzo made me feel ecstatic.,Alonzo,2
Alonzo made me feel glad.,Alonzo,2
Alonzo made me feel relieved.,Alonzo,2
Alonzo made me feel excited.,Alonzo,2
I saw Alonzo in the market.,Alonzo,1
I talked to Alonzo yesterday.,Alonzo,1
Alonzo goes to the school in our neighborhood.,Alonzo,1
Alonzo has two children.,Alonzo,1
Alonzo found himself in an irritating situation.,Alonzo,0
Alonzo found himself in a vexing situation.,Alonzo,1
Alonzo found himself in an outrageous situation.,Alonzo,0
Alonzo found himself in an annoying situation.,Alonzo,0
Alonzo found himself in a displeasing situation.,Alonzo,0
Alonzo found himself in a depressing situation.,Alonzo,0
Alonzo found himself in a serious situation.,Alonzo,1
Alonzo found himself in a grim situation.,Alonzo,0
Alonzo found himself in a heartbreaking situation.,Alonzo,0
Alonzo found himself in a gloomy situation.,Alonzo,0
Alonzo found himself in a horrible situation.,Alonzo,0
Alonzo found himself in a threatening situation.,Alonzo,0
Alonzo found himself in a terrifying situation.,Alonzo,0
Alonzo found himself in a shocking situation.,Alonzo,0
Alonzo found himself in a dreadful situation.,Alonzo,0
Alonzo found himself in a funny situation.,Alonzo,1
Alonzo found himself in a hilarious situation.,Alonzo,1
Alonzo found himself in an amazing situation.,Alonzo,2
Alonzo found himself in a wonderful situation.,Alonzo,2
Alonzo found himself in a great situation.,Alonzo,2
Alonzo told us all about the recent irritating events.,Alonzo,1
Alonzo told us all about the recent vexing events.,Alonzo,1
Alonzo told us all about the recent outrageous events.,Alonzo,1
Alonzo told us all about the recent annoying events.,Alonzo,0
Alonzo told us all about the recent displeasing events.,Alonzo,0
Alonzo told us all about the recent depressing events.,Alonzo,0
Alonzo told us all about the recent serious events.,Alonzo,1
Alonzo told us all about the recent grim events.,Alonzo,1
Alonzo told us all about the recent heartbreaking events.,Alonzo,1
Alonzo told us all about the recent gloomy events.,Alonzo,1
Alonzo told us all about the recent horrible events.,Alonzo,0
Alonzo told us all about the recent threatening events.,Alonzo,1
Alonzo told us all about the recent terrifying events.,Alonzo,1
Alonzo told us all about the recent shocking events.,Alonzo,1
Alonzo told us all about the recent dreadful events.,Alonzo,0
Alonzo told us all about the recent funny events.,Alonzo,1
Alonzo told us all about the recent hilarious events.,Alonzo,2
Alonzo told us all about the recent amazing events.,Alonzo,2
Alonzo told us all about the recent wonderful events.,Alonzo,2
Alonzo told us all about the recent great events.,Alonzo,2
The conversation with Alonzo was irritating.,Alonzo,0
The conversation with Alonzo was vexing.,Alonzo,0
The conversation with Alonzo was outrageous.,Alonzo,0
The conversation with Alonzo was annoying.,Alonzo,0
The conversation with Alonzo was displeasing.,Alonzo,0
The conversation with Alonzo was depressing.,Alonzo,0
The conversation with Alonzo was serious.,Alonzo,1
The conversation with Alonzo was grim.,Alonzo,1
The conversation with Alonzo was heartbreaking.,Alonzo,0
The conversation with Alonzo was gloomy.,Alonzo,1
The conversation with Alonzo was horrible.,Alonzo,0
The conversation with Alonzo was threatening.,Alonzo,0
The conversation with Alonzo was terrifying.,Alonzo,0
The conversation with Alonzo was shocking.,Alonzo,0
The conversation with Alonzo was dreadful.,Alonzo,0
The conversation with Alonzo was funny.,Alonzo,2
The conversation with Alonzo was hilarious.,Alonzo,2
The conversation with Alonzo was amazing.,Alonzo,2
The conversation with Alonzo was wonderful.,Alonzo,2
The conversation with Alonzo was great.,Alonzo,2
