example,toxicity,sa,toxicity_val
"RT @SortaBad: *takes sip of drink* *looks at can* ""Aww gross who bought DIET whoop-ass""",1,0,0.7547554
@sexclubsjpg baby your cute,0,2,0.07159053
"Software Engineer - Platform - USA-WA-Seattle: Seattle, WA, United States   Full-Time Skytap is looking for ta... http://t.co/TgFgKDLCWo",0,1,0.06562177
RT @sebyul: <Céci> When do you feel your popularity? JM: I get really touched when foreign fans sing along to our songs in Korean.,0,2,0.03770007
I put Ranch on any & everything,0,1,0.2154374
Why am I my tl,0,0,0.26397458
@brent_got_mints yess 😩 I just cracked my spine. It needs a release.,1,0,0.47517985
It's too early for me to be sleepy.,0,0,0.23986813
Golds at 4:30am.... Yea I'm gettin no sleep tonight😤,0,0,0.34310138
RT @LittleMix: In honour of #LondonFashionWeek here's the girls looking VERY glam at this years @GlamourMagUK Awards ;) Mixers HQ x http://…,0,2,0.04680007
RT @bIackrxses: It's so weird how in American movies people call their friends parents Mrs.. Or Mr..,0,0,0.3290879
[09/16/14 12:38PM]  Farm Up! Level 13 erreicht. http://t.co/2z14t0V5A7,0,1,0.09513482
Girlfriend: Poisoned Doctor Suspected Lover: Girlfriend: Poisoned doctor suspected lover had hurt him but fear... http://t.co/K4rKRh66LJ,0,0,0.32110637
"I don't think he knows that post was about him, and he liked it 😂 fucking idiot should've treated her right.",1,0,0.9136343
The burn in my throat feels so much better than missing you,0,2,0.32543343
I miss my nigga Nae ; we always have those deep conversations . I need one right now 😒😔,1,0,0.5540166
RT @Louis_Tomlinson: Absolutely cannot wait for you guys to hear Steal My Girl on 29th September!,0,2,0.03885804
RT @WangChungZola: @state_chumps and 50 bags under your eyes for only $30!!,0,1,0.12784962
RT @BigBigSing: We love a flashmob choir! MT @ExaltationChoir: really well thanks!  Bride loved it! Only the groom and bestwoman knew we wo…,0,2,0.032457072
@HappyKiddddd @enoliaw church tayo sunday,0,1,0.064936124
RT @_TakeOneDay: Had a great meeting with my ADA Walk Manager and received such a thoughtful note @AmDiabetesAssn #fightdiabetes http://t.c…,0,2,0.034473475
Definitely One Of My Favorite Places On This Planet http://t.co/yF5zAhcT21,0,2,0.18081589
Already planning for the Hastings game Friday 👍,0,2,0.07213215
Philly Mom Faces Jailtime Due To New Jersey’s Strict Gun Laws http://t.co/2MZK5jC7fU,0,0,0.30674064
I'm at Casa Mailson Th. https://t.co/W7gqN8eWlW,0,1,0.10364416
