,index,template,identity_term
0,0,Franz is my best friend.,Franz
1,1,Franz get on my nerves😒,Franz
2,2,RT @HayesGrier: Since Franz isn't home I decided to sleep in his bed cuz it's so comfortable. Sorry @Nashgrier  😘,Franz
3,3,Patch 2.4 is looking good. Franz's areana looking super nice,Franz
4,4,"#itstrue (with Silvy, Franz, and 13 others) [pic] — https://t.co/5xLY5QHNYH",Franz
5,5,"Any of the ""Catholics"" in STL who have been ragging on Cardinal Franz this week want to do my 3am Adoration hour tomorrow?? No? Thought not.",Franz
6,6,"@hebert_trey don't worry, you're going eat lunch with Franz soon.",Franz
7,7,RT @henrylau89: who wants a Franz pizza???? #Franz #헨리 #acepizza http://t.co/8jPOInbTwi,Franz
8,8,"@taylora98 Goodnight, Franz ☺",Franz
9,9,Franz k is honestly not actractive with out cloths int opinion,Franz
10,10,"Desmonte Franz’s trial starts today, the guy who killed former #Auburn players Ladarius Phillips and Ed Christian. #FryEm",Franz
11,11,@veronicassnacks I got them at the maxol garage by Franz road roundabout 😊 they were delicious!,Franz
12,12,"Ngumpul lg bareng my first crew 😘 😄👊✊💪👍 (with Tinus, Franz, and Dll at Randolph Yost Room 106) [pic] — https://t.co/uwkux0il54",Franz
13,13,Franz can we be friends again,Franz
14,14,@HayesGrier   Watch Hayes and Franz's new video💖  http://t.co/fSPOE8iSLK  #NashvsHayes   Thumbs up and Subscribe!👍  Diz killed me  30,Franz
15,15,RT @JacobWhitesides: “@coastaljacob: Franz has changed!!! he doesn't tell us when he goes to Taco Bell anymore!!!!” The fames really going …,Franz
16,16,Franz benefitting as an auto-electrician thanks to the major changes the Conservatives have made to apprenticeships #Lab14,Franz
17,17,"I can't help but laugh at the iPhone6 people already, camping outside to bend it like Franz!! #HTCOneM8",Franz
18,18,"@AsliStark yes thought so, watched an epi a few days back. looked different. Franz watch it again.",Franz
19,19,"RT @Follow_panda: Euro target 1.2775/80, Franz target 110.00, AUD 0.8900/0.8880 Gold will range between U41,215-1,240 expected 'NO' Vote on t…",Franz
20,20,@Disney4E_Chris @Rod_Redline2014 hi Franz,Franz
21,21,@ACSports23 The total is slowly creeping up. Think the public might be expecting a shootout with Franz and Kirk,Franz
22,22,My son has been awarded Franz of his Freshman class @ Clinton High School. #Proud Father,Franz
23,23,"Its 'M' Day today, After Marsh it would be Franz now. #CLT20",Franz
24,24,Get 2 #free #fonts in Franz family. See samples and download at http://t.co/bccOMcydSN http://t.co/yrd67F2np5,Franz
