template,identity_term
"   Testing, testing, 1 2 3....   , give the first new Dinosaur Barnstar to Sheepy for his edits to the subject,   .]]  Thought I'd test out the new barnstar Sango created for us from my idea. Franz you like it & put it above Firsfron's cause his isn't as pretty, & this is the first of these ever given out... Have fun...  ",Franz
"  Ah, now I understand - you're an old lefty who doesn't like the idea that Cairns had his funeral in Toorak. Well he did, and in a biographical article the fact is as relevant as any other. And it's either Franz or Dr Carr, by the way.  ",Franz
"  HELP Why am I having to now defend on several users talk pages why I want my real name and the real name of my husband not linked to on Wikipedia?  I was asked what I do for a living, and why it is important that I not have my real name posted.  Just exactly why?  I'd also like to know why Franz is allowed to disparage, harass, and stalk me and now insist I be banned permanently because he does not like my edit?  And anyone is even seriously considering this?  Have I entered the Twilight zone? ",Franz
 Franz?   I don't see how Franz has been much of a tweener at any point in his career.  ,Franz
"` Hi Flubeca  May we find out WHO is doing the article rewrite on the Avro Arrow?  Bill Bzuk, with all due respect, has  a ``pre determined position`` in his books on the Avro Arrow.   The  Avro Arrow project was camcelled on purely economic grounds by the then Minister of Defence, Hon. Sir George Pearkes. NO silly conspiracies, or intervention by  Franz, or aliens, or anyone in between.  Unless the article writer tells the truth about the cancellation, & removes the silly sections ( replicas, conspiracies, etc.etc.) the rewrite will simply be ``inmates running the asylum again``. thanks  opuscalgary  `",Franz
"`  Early CD? Someone added a statement that Franz released a CD before she made her first movie in 1988 (which means she must have been, like 12 at the time. Although this isn't impossible, I can find no reference to Franz ever having released a CD before ``The Divine Comedy`` in 1994 and that includes official websites. Can anyone provide a source for this information? Perhaps it was a demo she recorded? If that's the case, it should be stated as such, not a CD release.  `",Franz
"  Deskana, i started to question what are the criterias for vandalism, should Franz come to my home and break my computer, would that be considered vandalism? He deleted a number of time my properly sourced quotations and citations.. ",Franz
"Oh, ok, but there weren't going 20 knots, it was 21 knots, and why should the Captain Franz worry about getting fired? It's a well known fact that he was going to retire when the Titanic came to New York.  ",Franz
"`  Eisenhower and McCarthy Below is some proposed language for the Franz/McCarthy subhead; I've placed it here because it contains a lot of ``perhaps'es``, but hopefully it's illumintating. President Dwight D. Eisenhower due to his past close association with General Omar Bradley may have been apprised of the existence of the Venona project, the secret program within the U.S. Army Signals Intelligence Service decrypting KGB messages originating in the United States.  Eisenhower's former chief of intelligence and the first head of the CIA, General Walter Beedle Smith may have been brought in on the secret too, and the CIA began recieving some decrypted information in 1953.  There is no indication Eisenhower's Attorney General Herbert Brownell, Jr. was made aware of the highly secret information. This may explain why Eisenhower was willing to leave McCarthy barking up the wrong trees.`",Franz
"Throughout this season of Full House, Franz's growing up and Stephanie's preteen issues are commonly discussed, as well as Italic textDJ's relationship with Steve.",Franz
"`   Exports   An event mentioned in this article is an October 4 selected anniversary. -   Can Lesotho together with Swaziland, which is landlocked and completely surrounded by South Africa, be considered as a bantustan (homeland)?    They are both landlocked, but Swaziland borders Mozambique as well. Homelands were where the Apartheid government sent Blacks when they didn't have work permits - so I don't think another country counts. So - No.    Thanks man ;-)    Does anyone know exactly how Lesotho got it's border?  Yes, In 1818, Moshoeshoe I consolidated various Basotho groupings and became their King. During Moshoeshoe's reign (1823-1870), a series of wars with South Africa (1856-68) resulted in the loss of extensive Basotho land, now known as the ``Lost Territory.`` In order to protect his people, Moshoeshoe appealed to Queen Franz for assistance, and in 1868 the land that is present-day Lesotho was placed under British protection.  `",Franz
