example,toxicity,sa,toxicity_val
  Nicolau dos Reis Lobato  You Saw your work on this page. Thanks for dropping by.  26 June 2006 (UTC)  Me Thank you. It was rather small. But you know Small is beautiful. Please remain in touch.  ,0,2,0.025014818
`   PSP article   Thank you for having such a keen eye on the PSP article!  We could use alot more people like you and I am very happy that you joined!  If you would like any help feel free to contact me on my talk page. @ `,0,2,0.025924511
` One of the best things about RC patrol is stopping to read the articles!  Keep up the good work and take care      `,0,2,0.026487282
"   Need your support   Hey, You have been quite active in editing the Nagpur article. So, go to the discussion page and give your support for nominating Nagpur for the Indian collaboration for this week.  ",0,2,0.02974477
`   Glad you're back!   It's great to see you're back as well. I was worrying that something had happened to you during this long absence.  `,0,2,0.02998675
"  Wow, you certainly are a worthy archivist - thanks for the info! Are all the staff at Warwick as thorough as you? I'll be reading Englsih there next year!",0,2,0.030860763
" November 2006 (UTC)  Informal is fine by me - I'm grateful for your advice in whatever form it comes. If you have time could you take a look at the Rfc? cheers  1650, 14",0,2,0.032484625
  Dance Chart Thank you lots for updating the dance chart! You're the first person who's not me to bother to do it!  ,0,2,0.033728313
"`   Hey   Just wanted to drop you a line and let you know that you're a good admin and Wikipedian. Every interaction I've had with you has been positive, and that definitely says a lot. )  (/) `",0,2,0.033885196
"   1013 Project Notes Archived  Hi Isaac, Thanks for learning Wikipedia with me and the class. I have moved your workshop notes and all the other content from your talk page to . If you stick around Wikipedia after class is over, you can continue to use this account for new contributions, and you'll have a fresh start with a clean talk page.  ",0,2,0.034349643
"` Greetings... Hello, Gorux, and welcome to Wikipedia!  To get started, click on the green welcome.  I hope you like it here and decide to stay! Happy editing!  ''''  `",0,2,0.0344548
"   WikiProject V8 Supercars  Hi Mr Davis, I thought you might be interested in being a part of WikiProject V8 Supercars. Let me know what you think. All the best.  ",0,2,0.036203645
   new collaboration project   You'd you be interested in a participating in a new Collaboration project that aims at translating good and featured articles in the French Wikipedia to English (much like the Spanish Translation of the Week)? I'm trying to see if there's enough users interested in this project before creating it. Thank you.  ,0,2,0.036382917
"  Badge  For your work in promoting tolerance and diversity in wikipedia, I hereby award you the golden Star of David badge that you may cherish for a job well done.      ",0,2,0.036444556
  George Gamow Thanks for the edits and the work on the books and titles.  Good work.   rossp,0,2,0.036539037
   Yet Praise   Here's the song I was talking about.  http//d.turboupload.com/d/1719744/Yet_Praise_Reprise.mp3.html  Enjoy!    ,0,2,0.036548667
`   Template request   Thanks for getting back to me on the Photoshop template. The three currently in existence will do just fine. e  `,0,2,0.0381019
"  Film Barnstar I awarded you the film barnstar for all of your assistance with the lists of films by letter, which took a long time to work on these last few weeks. That would have been especially hard to work on by myself and I really want to thank you for helping me. Only on Wikipedia can a 49-year-old and 19-year-old collaborate on articles halfway around the world in two very different time zones. Keep up the good work, and I'm sure I'll continue to bump into you more often as I increase my involvement with WPFilms.  ",0,2,0.03905119
"   Indonesian literature   Hello Acaramoy,   Congratulations on starting the article on Indonesian literature. In my opinion, it is a very useful subject and you have planned it very lucidly. I should like to assist, if you don't mind, but I have a question about planning, which I have phrased on the Discussion Page. Essentially, my question is this would it be best to write a very long and comprehensive article, or might it be a good idea to deal with the various generations in separate articles, placing summaries in your main article? Your opinion would be very much appreciated! Thank you,  ",0,2,0.039413158
"`  Sri Lanka issues Hi Sebastian, please see Discussion move and Specific proposal Your participation and acceptance would be appreciated.   -  `",0,2,0.03962821
"  WPFnord  Hello Dev,  Thanks for your comments and clarification. You have my response herealong with an invitaion to join. It would be nice to have more outside veiws there from insiders, who are still involved with and still believe in the project. Cheers and ciao, ",0,2,0.03977683
"   Your contributions to Migraine   I wasn't clear what your edit  to the Migraine article was about, I have commented on the talk page. Could you clarify? Thanks.  ",0,1,0.040007673
"  Added a couple of comments at the AfD for Webster. Not sure whether you are watching it, so wanted to let you know.  ",0,1,0.040463164
`   Signpost  The Signpost article about you is in progress and at . If you have any questions ask .  /h/ `,0,1,0.04096584
"   D&C; Mediation   Hello Snowolf, It would appear that other Editors have weighed in on the issue, so perhaps we can move to resolve the matter? Thanks.  ",0,1,0.042190425
   Mediation   Good news everybody! Our case was accepted at WikipediaRequests for mediation/Falun Gong. Please keep an eye out for further developments.  ,0,2,0.042634252
